asset_id,time_to_failure
Motor,2041.20
Motor,4074.71
Motor,4122.96
Motor,6234.82
Motor,7338.59
Motor,7626.37
Motor,8819.78
Motor,9754.09
Motor,11607.99
Motor,12576.01
Motor,12612.54
Motor,13181.53
Motor,13396.86
Motor,13493.16
Motor,13572.54
Motor,13906.26
Motor,14095.89
Motor,14260.57
Motor,14396.11
Motor,14505.88
Motor,14578.12
Motor,14588.94
Motor,14891.13
Motor,14940.99
Motor,15040.74
Motor,15206.16
Motor,15600.98
Motor,16437.35
Motor,17103.84
Motor,17139.79
Motor,17799.94
Motor,18306.66
Motor,18548.13
